matricule;classe;mpc;credits_capitalized;total_credits_registered;total_credits;repeating;count_sem_registration
20C137;GIS1;0;0;0;0;0;1
23C059;GIS1;0;0;0;0;0;1
23C003;GBM1;0;0;0;0;0;1
20C001;GBM1;0;0;0;0;0;1
20C004;GBM1;0;0;0;0;0;1
20C053;GBM1;0;0;0;0;0;1
20C056;GBM1;0;0;0;0;0;1
20C027;GBM1;0;0;0;0;0;1
20C041;GBM1;0;0;0;0;0;1
22C044;GBM1;0;0;0;0;0;1
19C071;GBM1;0;0;0;0;0;1
20C028;GBM1;0;0;0;0;0;1
18C031;GC4;0;0;0;0;0;1
18B234;PHA5;2.01;42;56;60;0;3
23C048;MB3;0;0;0;0;0;1
21C051;MB3;0;0;0;0;0;1
20C067;GC4;0;0;0;0;0;1
22C005;GC4;0;0;0;0;0;1
20C042;GC4;0;0;0;0;0;1
09B154;SIN3;0;0;0;0;0;1
20B276;KIN3;0;0;0;0;0;1
